dates,cyclist_type,avg_ride_length,total_riders
3/28/2022,member,10.34499827,5985
3/29/2022,casual,20.21752643,1744
3/29/2022,member,10.73789317,6999
3/30/2022,casual,18.2480673,1035
3/30/2022,member,9.9212386,4520
3/31/2022,casual,15.18854199,1555
3/31/2022,member,10.07216577,5643
4/1/2022,casual,24.39774283,3146
4/1/2022,member,11.27895585,7562
4/2/2022,casual,21.06632654,2011
4/2/2022,member,10.79832548,3992
4/3/2022,casual,36.78351756,3251
4/3/2022,member,11.69761659,5616
4/4/2022,casual,25.80355646,2685
4/4/2022,member,10.49212736,8369
4/5/2022,casual,23.73275643,2804
4/5/2022,member,10.5956968,9300
4/6/2022,casual,23.22311984,3112
4/6/2022,member,11.14269481,8613
4/7/2022,casual,18.0579946,2364
4/7/2022,member,9.934363123,7491
4/8/2022,casual,33.52963268,1644
4/8/2022,member,9.64697819,5323
4/9/2022,casual,26.59741865,4094
4/9/2022,member,11.6171894,6532
4/10/2022,casual,35.23621569,7308
4/10/2022,member,13.6345675,8573
4/11/2022,casual,40.73402314,4347
4/11/2022,member,11.80220137,9962
4/12/2022,casual,31.90544409,5599
4/12/2022,member,11.71405715,11632
4/13/2022,casual,25.42766209,2360
4/13/2022,member,10.68679231,6562
4/14/2022,casual,25.48973894,3260
4/14/2022,member,10.69426599,8546
4/15/2022,casual,30.84181276,3870
4/15/2022,member,11.20137336,6855
4/16/2022,casual,33.51586405,5609
4/16/2022,member,12.08755538,6880
4/17/2022,casual,26.43531071,2781
4/17/2022,member,10.86909471,4619
4/18/2022,casual,17.4508595,1667
4/18/2022,member,9.943278715,6202
4/19/2022,casual,22.25522699,2962
4/19/2022,member,10.37358367,9375
4/20/2022,casual,18.8444535,2365
4/20/2022,member,10.41099283,8196
4/21/2022,casual,31.0583848,7883
4/21/2022,member,13.43276562,13395
4/22/2022,casual,19.30298162,2381
4/22/2022,member,10.23678591,6077
4/23/2022,casual,40.61481877,20288
4/23/2022,member,16.48492755,14675
4/24/2022,casual,31.12477674,6056
4/24/2022,member,12.55841067,6652
4/25/2022,casual,22.56022367,3363
4/25/2022,member,10.60336493,9395
4/26/2022,casual,22.55498972,3183
4/26/2022,member,10.45795616,10128
4/27/2022,casual,17.68900094,2620
4/27/2022,member,9.960138002,9012
4/28/2022,casual,19.37409072,3273
4/28/2022,member,10.27440203,9161
4/29/2022,casual,24.6421143,5804
4/29/2022,member,11.70649155,10146
4/30/2022,casual,22.97779671,4326
4/30/2022,member,12.22274767,5991
5/1/2022,casual,24.92056087,5114
5/1/2022,member,12.66212837,7283
5/2/2022,casual,22.0146533,3734
5/2/2022,member,11.16491247,10016
5/3/2022,casual,14.81125293,1407
5/3/2022,member,9.609648978,4610
5/4/2022,casual,24.33603302,4537
5/4/2022,member,11.29841273,11080
5/5/2022,casual,24.49655648,2367
5/5/2022,member,9.992393652,7161
5/6/2022,casual,19.26271488,2362
5/6/2022,member,9.91531895,5789
5/7/2022,casual,28.7124893,10853
5/7/2022,member,13.7548284,11045
5/8/2022,casual,38.50414541,7566
5/8/2022,member,13.44569896,8704
5/9/2022,casual,38.36872809,8884
5/9/2022,member,13.24770503,13902
5/10/2022,casual,33.59439853,10727
5/10/2022,member,14.1206116,15601
5/11/2022,casual,31.82565983,9581
5/11/2022,member,13.67939284,14238
5/12/2022,casual,31.80649826,10769
5/12/2022,member,13.82542633,14844
5/13/2022,casual,36.95428653,13728
5/13/2022,member,14.25257515,14638
5/14/2022,casual,40.2652279,16905
5/14/2022,member,15.710499,13885
5/15/2022,casual,34.26663288,9965
5/15/2022,member,13.92287162,9645
